"fecha","autoridad_ambiental","nombre_de_la_estaci_n","tecnolog_a","latitud","longitud","c_digo_del_departamento","departamento","c_digo_del_municipio","nombre_del_municipio","tipo_de_estaci_n","tiempo_de_exposici_n","variable","unidades","concentraci_n","geocoded_column"
"09/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","31.4","(6.436, -75.333431)"
"12/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","25.06","(6.436, -75.333431)"
"15/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","9.36","(6.436, -75.333431)"
"18/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","31.98","(6.436, -75.333431)"
"21/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","44.96","(6.436, -75.333431)"
"24/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","33.72","(6.436, -75.333431)"
"27/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","26.87","(6.436, -75.333431)"
"30/09/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","23.24","(6.436, -75.333431)"
"03/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","27.47","(6.436, -75.333431)"
"06/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","19.41","(6.436, -75.333431)"
"09/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","30.06","(6.436, -75.333431)"
"12/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","29.3","(6.436, -75.333431)"
"15/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","26.68","(6.436, -75.333431)"
"18/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","28.73","(6.436, -75.333431)"
"21/10/2011 12:00:00 a. m.","AMVA","BAR-Hosp. S.V. Paul","Manual","6.436","-75.333431","5","ANTIOQUIA","5079","BARBOSA","Fija","24","PM10","µg/m3","27.38","(6.436, -75.333431)"
