Ticket,Nombre comun,Dia,Mes,Ano,,Evento,Ciudad,Vereda,Arboles,Hectareas
533,"Tulipan africano, Cedro rosado, Piñón de Oreja, Guacimo, Caracolí, Nogal Cafetero",9,4,2020,,Siembra de arboles,Valdivia,Montefrio,2500,5
536,"palma molinillo, Cedro Amarillo, velero, Guayacan Trebol, Cascarilla Espinillo Blanco, totumo",9,17,2020,,siembra de arboles monte frio,Valdivia,Montefrio,2000,4
1023,"Guamo Churimo, Chaquiro Real, Espadero",5,3,2021,,siembra de arboles,Valdivia,Morion Sevilla,200,0.4
1404,Cedro Rojo,3,19,2021,,CONVENIO SOLIDARIO BIOVIVERO MUNICIPIO DE VALDIVIA 040-COV2009-101,Valdivia,Morion Sevilla,43,0.086
96,Algarrobo,4,8,2020,,Siembra de arboles,Valdivia,Morion Sevilla,30,0.06
111,"Guanabano, Guayacán Amarillo, Piñón de Oreja, Arrayan Eugenio",6,25,2020,,Siembra de arboles,Valdivia,Morion Sevilla,200,0.4
1067,"Flechero, Encenillo",5,3,2021,,cada uno un arbol,Valdivia,Raudal Viejo,500,1
1728,"Cedro Rojo, Guayacan Amarillo, Ceiba Bonga, Carbonero, Samán, Nogal Cafetero",3,1,2022,,Obligación Contractual,Valparaíso,Cabecera Municipal,44,0.088
1557,"Cedro, Guayacán azul, Ceiba Bonga, Ceiba rosada, Ceiba Tolua, Alcaparro, Samán",8,19,2021,,Obligación Contractual,Valparaíso,Cabecera Municipal,60,0.12
1077,Guayacán Amarillo,2,13,2021,,Sembraton Casa Museo Rafael Uribe Uribe,Valparaíso,El Bosque,90,0.18
1477,"Cedro Amarillo, saman, Ceiba Bonga",6,12,2021,,Siembra concesión pacífico 2,Valparaíso,Itima,150,0.3
2162,Sauce,10,13,2021,,SEMBRATON APOYO,Valparaíso,La Fabiana,3000,6
2159,Saúco,3,29,2021,,SEMBRATON APOYO,Valparaíso,La Fabiana,1200,2.4
2160,Quimulá,7,15,2021,,SEMBRATON APOYO,Valparaíso,La Fabiana,5000,10
2161,Chachafruto,8,19,2021,,SEMBRATON APOYO,Valparaíso,La Fabiana,6000,12
1115,"Guayacán Amarillo, Piñón de Oreja, velero, Samán",8,27,2021,,Obligación Contractual,Valparaíso,La Graciela,47,0.094
977,Abarco,3,25,2021,,Sembraton - Saneamiento Hídrico 2020,Valparaíso,La Placita,170,0.34
637,"Guayacan Amarillo, Cedro de Altura, totumo, Leucaena, Samán, Roble",11,10,2020,,SEMBRATON,Valparaíso,La Placita,600,1.2
1215,"Guamo Churimo, Nogal Cafetero",10,11,2021,,"Gran Sembratón Cada uno, un árbol",Valparaíso,Las Sardinas,3500,7
350,"Casco de Vaca, Samanes, Suribios, Guayacanes Amarillos",11,6,2020,,"CAMPAÑA ""CADA UNO UN ÁRBOL"" HAGAMOSLO ENTRE TODOS",Vegachí,Cabecera Municipal,155,0.31
892,"Acacias, Choyba, Pisquin, Guayacan rosado",4,13,2021,,Siembra Proyecto Parque Lineal Ambiental - Convenio 040-COV2009-112 DE 2020,Vegachí,Cabecera Municipal,100,0.2
349,"Casco de vaca, Siribios, Bucarosc guaduas angustifolias",10,24,2020,,Jornada Celebración Dia internacional del Cambio climatico,Vegachí,Cabecera Municipal,51,0.102
346,"Guayacán Amarillo, Gualanday",12,2,2020,,Cada uno un árbol vegachi,Vegachí,Cabecera Municipal,2,0.004
257,Suribio,11,7,2020,,Cada uno un árbol,Vegachí,Cabecera Municipal,2,0.004
117,"Samán, Chirlobirlo",6,5,2020,,#TODOSPORELMEDIOAMBIENTE,Vegachí,Cabecera Municipal,100,0.2
353,Acacia Roja,10,26,2020,,Siembra por la vida y el campo,Vegachí,El Cinco,150,0.3
354,"payande, leucaena, acaccia, guayabo",11,7,2020,,Siembra por la vida y el campo,Vegachí,El Tigre,200,0.4
351,Guayacán Amarillo,12,2,2020,,Simbra Cada uno un arbol,Vegachí,La Cristalina,250,0.5
1412,Guayacan Amarillo,10,3,2021,,Obligación Contractual,Vegachí,La Gallinera,15,0.03
446,Guayabo Comun,10,13,2020,,Sembraton por la vida y el campo,Vegachí,La Gallinera,1200,2.4
1852,"Guayacán Amarillo, Guayabo Común, Achiote, Payandé, Algarrobo",10,19,2021,,Obligación Contractual,Vegachí,La Gallinera,100,0.2
827,Quimulá,2,15,2021,,Siembra Proyecto Llanura de inundacion - Convenio 040-COV2008-82 DE 2020,Vegachí,La Gallinera,250,0.5
845,"Quimulá, Guayacán de Manizalez, Guayabo Comun, Hayuelo, CHICALA AZUL, Alcaparro Enano, Pestaña de Mula",3,25,2021,,Sembraton Fundacion EPM - Corantioquia,Vegachí,La Gallinera,2200,4.4
828,Guayabo Comun,3,20,2021,,Siembra Proyecto Parque Lineal Ambiental - Convenio 040-COV2009-112 DE 2020,Vegachí,La Gallinera,640,1.28
772,Alcaparro Criollo,1,25,2021,,Siembra Proyecto Pozos Septicos - Convenio 040-COV2007-59 DE 2020,Vegachí,La Gallinera,350,0.7
352,Acacia Roja,10,13,2020,,Siembra por la vida y el campo,Vegachí,La Gallinera,2200,4.4
465,Ceiba Bonga,12,30,2020,,SIEMBRA - CONVENIO CORANTIOQUIA,Vegachí,La Gallinera,2500,5
761,"Pisquin, Payande, Acacia, Nogal Cafetero",3,15,2021,,Siembra por la vida y el campo,Vegachí,Mona,200,0.4
1767,"Biomato, Guayacán Amarillo, Cedro de Altura, piñon de oreja, Cañafistula, Búcaro, Algarrobo",9,1,2021,,Obligación Contractual,Venecia,Cabecera Municipal,50,0.1
1488,"Cedro, Ceiba Bonga",9,24,2021,,Siembra concesión pacífico 2,Venecia,Bolombolo,80,0.16
559,"Guayacán Amarillo, totumo, Tachuelo, Chachafruto, Aguacatillo",1,30,2021,,Sembranton Ambiental,Venecia,Cerro Tusa,200,0.4
1719,"Guayacan Amarillo, Suribio, Guamo Liso, Nogal Cafetero, Roble",2,21,2022,,Obligación Contractual,Venecia,El Cerro,1088,2.176
1732,Quiebrabarrigo,2,3,2022,,Convites de restauracion,Venecia,El Cerro,100,0.2
1197,"Guayacan Amarillo, Piñón de Oreja, Ceiba Verde Bonga, Búcaro, Samán",9,1,2021,,Obligación Contractual,Venecia,El Recreo,50,0.1
565,"Guayacán Amarillo, Espadero, totumo, Drago, Chachafruto, Chagualo, Aguacatillo, Nogal Cafetero",3,28,2020,,Gran sembraton por la Vida,Venecia,El Recreo,380,0.76
148,Muchas variedades,9,22,2020,,Sembraton find the origind 2020,Venecia,Villa Silvia,1000,2
1956,"Matarratón, Leucaena, Balso, Nogal Cafetero",12,23,2021,,Covenio Interadministrativo 040-COV2106-29,Yalí,Casa Mora,11,0.022
1952,"Matarratón, Leucaena, Balso, Nogal Cafetero",12,27,2021,,Convenio Interadministrativo 040-COV2106-29,Yalí,El Cinismo,11,0.022
588,"PAYANDE, Guadua, Ceiba Amarilla, Leucaena, Nogal Cafetero",12,16,2020,,SEMBRATÓN,Yalí,El Jardin,80,0.16
2452,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,Hatillo,11,0.022
2466,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,La Clarita,11,0.022
2461,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,La Clarita,11,0.022
2465,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,La Clarita,11,0.022
589,"PAYANDE, Guadua, Ceiba Amarilla, Nogal Cafetero",12,16,2020,,SEMBRATÓN,Yalí,La Clarita,40,0.08
1818,"Matarratón, Leucaena, Balso, Gualanday, Nogal Cafetero",3,9,2022,,Convenio interadministrativo 040-COV2111-139,Yalí,La Clarita,30,0.06
2464,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,La Clarita,11,0.022
586,"PAYANDE, Guadua, Ceiba Amarilla, Leucaena, Nogal Cafetero",12,16,2020,,SEMBRATÓN,Yalí,La Mascota,55,0.11
2467,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,La Mascota,11,0.022
1126,"Guadua, Leucaena, Ceiba Bonga, Gualanday, Nogal Cafetero",12,18,2020,,Siembra Arboles - BIO+ Convenio COV-040-2010-171,Yalí,Montañita,93,0.186
